Ano,Nome do Mês,Valor Orçado Atual DW,Valor Empenhado DW,Valor Pago
2019,janeiro,R$ 52853314.00,R$ 403150.97,R$ 53526.40
2019,fevereiro,-R$ 4168539.00,R$ 7543651.85,R$ 461304.77
2019,março,-R$ 860000.00,R$ 1227068.69,R$ 3784527.95
2019,abril,R$ 264790.00,R$ 1843329.13,R$ 3114990.29
2019,maio,R$ 33013.00,R$ 6358465.62,R$ 4921766.12
2019,junho,R$ 0.00,R$ 1188334.95,R$ 2332335.40
2019,julho,-R$ 1200000.00,R$ 1403426.03,R$ 2576543.46
2019,agosto,-R$ 1002500.00,R$ 1442467.60,R$ 1669842.17
2019,setembro,R$ 0.00,R$ 5213479.77,R$ 2565336.13
2019,outubro,-R$ 5850138.00,R$ 2748411.74,R$ 5535769.84
2019,novembro,R$ 2713833.00,R$ 3575295.11,R$ 4073463.64
2019,dezembro,R$ 1220574.00,R$ 3806770.27,R$ 4072142.14
2020,janeiro,R$ 44856350.00,R$ 632418.44,R$ 36950.84
2020,fevereiro,R$ 6022746.00,R$ 826731.39,R$ 459766.89
2020,março,-R$ 3226400.00,R$ 6729002.02,R$ 2877053.87
2020,abril,R$ 440013176.00,R$ 133272920.33,R$ 34625326.10
2020,maio,R$ 93888562.00,R$ 93163351.79,R$ 51957795.12
2020,junho,R$ 55985708.00,R$ 124297528.66,R$ 96637922.19
2020,julho,R$ 93358379.00,R$ 72794437.42,R$ 112636030.12
2020,agosto,R$ 167629318.00,R$ 78059350.44,R$ 89355332.50
2020,setembro,R$ 23098658.00,R$ 50630022.27,R$ 57559096.17
2020,outubro,R$ 25462134.26,R$ 61418238.51,R$ 70475106.63
2020,novembro,-R$ 4049003.11,R$ 50257207.73,R$ 59891022.50
2020,dezembro,R$ 39259658.00,R$ 41065550.32,R$ 73191027.91
2021,janeiro,R$ 58999815.00,R$ 8303185.71,R$ 0.00
2021,fevereiro,R$ 202159279.00,R$ 76206941.19,R$ 58866118.98
2021,março,R$ 145708552.00,R$ 104441385.27,R$ 56794106.66
2021,abril,R$ 48132526.00,R$ 80095738.20,R$ 86280520.50
2021,maio,R$ 92947032.00,R$ 104055983.63,R$ 110174353.31
2021,junho,R$ 111514882.00,R$ 100877829.79,R$ 109239316.77
2021,julho,R$ 123987923.00,R$ 126454057.38,R$ 129954566.70
2021,agosto,R$ 103088911.23,R$ 100347523.99,R$ 101375605.26
2021,setembro,R$ 60333282.37,R$ 95243103.72,R$ 104211219.13
2021,outubro,R$ 39752007.00,R$ 58268045.45,R$ 72343881.56
2021,novembro,R$ 81528707.00,R$ 73686646.41,R$ 69498028.87
2021,dezembro,R$ 131248142.74,R$ 165379993.36,R$ 146991978.91
2022,janeiro,R$ 194250646.00,R$ 2464130.60,R$ 1144474.86
2022,fevereiro,R$ 4409975.00,R$ 44662273.44,R$ 34183491.20
2022,março,-R$ 1091453.00,R$ 35669369.08,R$ 27408631.44
2022,abril,R$ 500000.00,R$ 28944736.09,R$ 40237793.00
2022,maio,R$ 18719816.00,R$ 29653588.04,R$ 33642359.99
2022,junho,R$ 34056471.00,R$ 25276614.91,R$ 17387615.43
2022,julho,R$ 75001781.00,R$ 32366126.11,R$ 32144955.47
2022,agosto,R$ 72804.00,R$ 17270487.50,R$ 18905896.06
2022,setembro,-R$ 8094797.00,R$ 29752426.51,R$ 26727493.86
2022,outubro,-R$ 3384115.00,R$ 8327857.36,R$ 12983268.72
2022,novembro,R$ 3877153.00,R$ 25407915.56,R$ 18687669.08
2022,dezembro,-R$ 673845.00,R$ 12729255.52,R$ 24900063.42
2023,janeiro,R$ 99325730.00,R$ 3875625.82,R$ 2076349.44
2023,fevereiro,R$ 13352066.00,R$ 16185697.10,R$ 12842237.31
2023,março,-R$ 913719.00,R$ 17881352.46,R$ 16767470.74
2023,abril,R$ 26784685.00,R$ 14516936.40,R$ 14586918.97
2023,maio,R$ 3340896.00,R$ 9522987.29,R$ 11309692.86
2023,junho,R$ 14947050.00,R$ 12300909.83,R$ 11632886.54
2023,julho,R$ 14341000.00,R$ 17443343.24,R$ 16114289.13
2023,agosto,-R$ 3252216.00,R$ 8118541.06,R$ 8395278.40
2023,setembro,R$ 3123197.00,R$ 4667720.80,R$ 4987037.04
2023,outubro,R$ 4371283.00,R$ 4221723.16,R$ 5062758.75
2023,novembro,-R$ 25260748.00,R$ 16680578.29,R$ 9038037.53
2023,dezembro,R$ 4111334.00,R$ 8373594.19,R$ 12559997.61
2024,janeiro,R$ 76333596.00,R$ 3660801.28,R$ 839182.57
2024,fevereiro,-R$ 1082303.00,R$ 8633973.92,R$ 7728311.69
2024,março,R$ 1522406.00,R$ 8904550.63,R$ 8014425.03
2024,abril,R$ 7017531.00,R$ 12925615.18,R$ 6062097.13
2024,maio,R$ 8035573.00,R$ 15652245.96,R$ 10847249.46
2024,junho,R$ 562243.00,R$ 6321452.34,R$ 6690349.29
2024,julho,R$ 4216300.00,R$ 6074716.32,R$ 6910249.27
2024,agosto,R$ 4207687.00,R$ 4234071.60,R$ 11396606.86
2024,setembro,-R$ 2866246.00,R$ 9801628.89,R$ 4710914.88
2024,outubro,R$ 11007305.00,R$ 8175914.13,R$ 9678398.64
2024,novembro,-R$ 1516253.00,R$ 6334281.19,R$ 10940279.21
2024,dezembro,R$ 8379566.00,R$ 14741263.18,R$ 13473761.44
2025,janeiro,R$ 91784471.00,R$ 663882.48,R$ 26773.32
2025,fevereiro,-R$ 13926436.00,R$ 8640193.15,R$ 6110421.67
2025,março,R$ 507885.00,R$ 6886803.13,R$ 6545968.78
2025,abril,R$ 3352204.00,R$ 12493375.29,R$ 6739926.05
2025,maio,R$ 480708.00,R$ 6774325.98,R$ 8224995.97
2025,junho,R$ 5792917.00,R$ 10603694.91,R$ 9274165.57
2025,julho,R$ 7976958.00,R$ 10973846.49,R$ 7380461.59
2025,agosto,-R$ 246786.00,R$ 3050177.95,R$ 7274181.24
2025,setembro,-R$ 4501146.00,R$ 11031546.46,R$ 9880127.29
2025,outubro,R$ 6592651.00,R$ 8259692.65,R$ 9996002.70
2025,novembro,R$ 10035699.00,R$ 14906697.79,R$ 10049728.94
2025,dezembro,R$ 8023705.00,R$ 12611244.68,R$ 15001274.91
2026,janeiro,R$ 78812705.00,R$ 765006.70,R$ 4017.73
2026,fevereiro,R$ 9731831.00,R$ 11836496.94,R$ 8267557.04
2026,março,-R$ 612585.00,R$ 11440460.51,R$ 6401580.63
2026,abril,-R$ 6000.00,R$ 8070317.94,R$ 6913914.74
